Area,Week,Number - Total Housing Insecurity (Missed Payment or Low Confidence),Margin of Error +/-,Percent - Percent Housing Insecurity (Missed Payment or Low Confidence),Percent Margin of Error +/-,Measure Universe,Total Population age 18+
Missouri,"5 - May 28-June 2, 2020",476724,87782,15.9,3,2997718,"4,617,880"
Montana,"5 - May 28-June 2, 2020",47667,13092,9.4,2.6,508724,"822,204"
Nebraska,"5 - May 28-June 2, 2020",141414,21632,15.4,2.3,918869,"1,418,191"
Nevada,"5 - May 28-June 2, 2020",449573,70698,27,3.9,1667482,"2,399,457"
New Hampshire,"5 - May 28-June 2, 2020",79071,17311,11,2.4,719251,"1,073,014"
New Jersey,"5 - May 28-June 2, 2020",1272511,161778,28.4,3.1,4482104,"6,776,822"
New Mexico,"5 - May 28-June 2, 2020",299520,46624,30.5,4.2,982465,"1,589,574"
New York,"5 - May 28-June 2, 2020",2660499,293252,27.6,2.9,9643084,"14,847,080"
North Carolina,"5 - May 28-June 2, 2020",1194418,203481,23,3.6,5196573,"8,017,566"
North Dakota,"5 - May 28-June 2, 2020",50889,13849,15.5,3.9,327460,"561,016"
Ohio,"5 - May 28-June 2, 2020",1112882,265772,20,4.5,5577515,"8,822,539"
Oklahoma,"5 - May 28-June 2, 2020",467890,81897,26,4.1,1799279,"2,916,436"
Oregon,"5 - May 28-June 2, 2020",412377,76313,18.8,3.3,2193138,"3,302,727"
Pennsylvania,"5 - May 28-June 2, 2020",919257,192540,16.7,3.1,5512765,"9,776,154"
Rhode Island,"5 - May 28-June 2, 2020",87525,17840,15.7,3.4,556463,"817,559"
South Carolina,"5 - May 28-June 2, 2020",660719,113690,27.9,4.5,2370755,"3,969,123"
South Dakota,"5 - May 28-June 2, 2020",72339,17468,19.8,4.3,365998,"642,658"
Tennessee,"5 - May 28-June 2, 2020",584859,76078,18.9,2.4,3101904,"5,221,475"
Texas,"5 - May 28-June 2, 2020",3844175,478832,28.2,2.9,13610734,"21,356,906"
Utah,"5 - May 28-June 2, 2020",270720,51208,15.8,2.8,1713342,"2,281,207"
Vermont,"5 - May 28-June 2, 2020",50022,12698,14.8,3.7,337997,"485,485"
Virginia,"5 - May 28-June 2, 2020",983587,144298,21.8,3.1,4515979,"6,472,737"
Washington,"5 - May 28-June 2, 2020",835315,168581,19.4,3.6,4308740,"5,890,357"
West Virginia,"5 - May 28-June 2, 2020",191113,49147,24.2,5.9,789133,"1,379,576"
Wisconsin,"5 - May 28-June 2, 2020",334535,72379,12.1,2.6,2766618,"4,438,719"
Wyoming,"5 - May 28-June 2, 2020",47546,10916,17.2,3.8,276006,"433,400"
Alabama,"4 - May 21-26, 2020",596389,105891,25.9,4.3,2306805,"3,717,378"
Alaska,"4 - May 21-26, 2020",60903,15673,17,4.1,357540,"524,925"
Arizona,"4 - May 21-26, 2020",817587,126891,21.4,3.3,3828888,"5,597,268"
Arkansas,"4 - May 21-26, 2020",314501,65879,23.4,4.6,1345991,"2,246,527"
California,"4 - May 21-26, 2020",5667284,651110,27.5,2.9,20601279,"29,939,021"
Colorado,"4 - May 21-26, 2020",508773,108957,16.1,3.5,3161457,"4,454,718"
Connecticut,"4 - May 21-26, 2020",376973,52775,21.2,3,1781154,"2,732,423"
Delaware,"4 - May 21-26, 2020",135714,30115,27.8,5.5,487451,"754,637"
District of Columbia,"4 - May 21-26, 2020",89310,26760,22.2,6.5,403059,"542,635"
Florida,"4 - May 21-26, 2020",3139921,286163,29.4,2.9,10669340,"17,085,385"
Georgia,"4 - May 21-26, 2020",1405485,245487,27.5,4.6,5115807,"7,955,983"
Hawaii,"4 - May 21-26, 2020",185839,29225,25.3,3.7,733300,"1,073,229"
Idaho,"4 - May 21-26, 2020",130535,31109,16.1,3.6,812291,"1,343,198"
Illinois,"4 - May 21-26, 2020",1552435,220235,25.4,3.3,6120467,"9,546,424"
Indiana,"4 - May 21-26, 2020",703176,126397,21.5,3.5,3271984,"5,015,550"
Iowa,"4 - May 21-26, 2020",186816,43080,13.4,3,1397619,"2,342,905"
Kansas,"4 - May 21-26, 2020",292976,57378,20.3,3.9,1445075,"2,140,957"
Kentucky,"4 - May 21-26, 2020",421501,106496,19.8,4.8,2131228,"3,344,102"
Louisiana,"4 - May 21-26, 2020",628012,104604,31.9,5,1969012,"3,431,432"
Maine,"4 - May 21-26, 2020",89353,23297,13.9,3.7,640906,"1,065,620"
Maryland,"4 - May 21-26, 2020",776050,115428,25.4,3.6,3054235,"4,586,920"
Massachusetts,"4 - May 21-26, 2020",693638,112920,19.3,2.9,3598961,"5,324,065"
Michigan,"4 - May 21-26, 2020",986300,173003,22,3.8,4492916,"7,644,458"
Minnesota,"4 - May 21-26, 2020",342700,85069,12.7,3.1,2705223,"4,241,624"
Mississippi,"4 - May 21-26, 2020",397157,74732,34.7,5.5,1143470,"2,189,670"
Missouri,"4 - May 21-26, 2020",412062,82924,14,2.7,2952510,"4,617,880"
Montana,"4 - May 21-26, 2020",63485,17352,12.3,3.5,517279,"822,204"
Nebraska,"4 - May 21-26, 2020",129239,29240,13.9,3.1,929345,"1,418,191"
Nevada,"4 - May 21-26, 2020",461521,68935,26.3,3.8,1752322,"2,399,457"
New Hampshire,"4 - May 21-26, 2020",82409,20847,11.7,3,706485,"1,073,014"
New Jersey,"4 - May 21-26, 2020",1359414,163770,29.3,3.4,4632752,"6,776,822"
New Mexico,"4 - May 21-26, 2020",233554,45891,23.1,4.5,1009636,"1,589,574"
New York,"4 - May 21-26, 2020",2483497,345749,25.4,3.4,9781073,"14,847,080"
North Carolina,"4 - May 21-26, 2020",1150217,184452,22.9,3.2,5032207,"8,017,566"
North Dakota,"4 - May 21-26, 2020",69039,15138,21.9,4.8,315636,"561,016"
Ohio,"4 - May 21-26, 2020",1177540,208989,20.6,3.7,5718752,"8,822,539"
Oklahoma,"4 - May 21-26, 2020",372472,68472,21.4,3.8,1743205,"2,916,436"
