Area,Week,Number - Total Housing Insecurity (Missed Payment or Low Confidence),Margin of Error +/-,Percent - Percent Housing Insecurity (Missed Payment or Low Confidence),Percent Margin of Error +/-,Measure Universe,Total Population age 18+
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area","3 - May 14-19, 2020",1143785,198504,32.5,4.8,3520321,"5,001,211"
"Boston-Cambridge-Newton, MA-NH Metro Area","3 - May 14-19, 2020",476408,89751,16.5,3.1,2878671,"3,847,292"
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area","3 - May 14-19, 2020",1149875,193056,24.7,3.4,4655454,"6,952,766"
"Dallas-Fort Worth-Arlington, TX Metro Area","3 - May 14-19, 2020",1047567,228716,27.3,5.1,3841587,"6,207,790"
"Detroit-Warren-Dearborn, MI Metro Area","3 - May 14-19, 2020",671636,148076,24.9,5.1,2699134,"3,766,708"
"Houston-The Woodlands-Sugar Land, TX Metro Area","3 - May 14-19, 2020",961352,235999,28.6,6.1,3357256,"5,419,757"
"Los Angeles-Long Beach-Anaheim, CA Metro Area","3 - May 14-19, 2020",2627897,519385,31.1,5,8463374,"11,174,404"
"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area","3 - May 14-19, 2020",1711744,275795,43.6,6.3,3925419,"5,664,425"
"New York-Newark-Jersey City, NY-NJ-PA Metro Area","3 - May 14-19, 2020",3429073,544219,37.3,4.6,9189034,"13,356,692"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","3 - May 14-19, 2020",779793,135343,26.5,4,2937828,"4,617,768"
"Phoenix-Mesa-Chandler, AZ Metro Area","3 - May 14-19, 2020",514386,90001,19.5,3.3,2636622,"3,872,676"
"Riverside-San Bernardino-Ontario, CA Metro Area","3 - May 14-19, 2020",956728,246006,33.3,6.4,2874730,"4,112,691"
"San Francisco-Oakland-Berkeley, CA Metro Area","3 - May 14-19, 2020",645946,221756,24.6,6.3,2624643,"4,274,605"
"Seattle-Tacoma-Bellevue, WA Metro Area","3 - May 14-19, 2020",414498,101146,18.3,3.9,2258921,"3,098,302"
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","3 - May 14-19, 2020",654046,125386,19,3.2,3450990,"4,743,165"
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area","2 - May 7-12, 2020",883558,255003,23.7,6.2,3733496,"5,287,525"
"Boston-Cambridge-Newton, MA-NH Metro Area","2 - May 7-12, 2020",464791,135603,16.2,4.3,2873238,"3,768,287"
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area","2 - May 7-12, 2020",1789019,367073,34.8,6.1,5134384,"6,641,251"
"Dallas-Fort Worth-Arlington, TX Metro Area","2 - May 7-12, 2020",1275708,341306,29.4,5.7,4339874,"6,256,957"
"Detroit-Warren-Dearborn, MI Metro Area","2 - May 7-12, 2020",575637,162992,21.8,5.8,2643811,"3,822,055"
"Houston-The Woodlands-Sugar Land, TX Metro Area","2 - May 7-12, 2020",1035789,247828,29.6,6.4,3500333,"5,166,765"
"Los Angeles-Long Beach-Anaheim, CA Metro Area","2 - May 7-12, 2020",2985279,870565,35.1,8.3,8508749,"11,090,032"
"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area","2 - May 7-12, 2020",1274797,282282,39.8,6.8,3203645,"4,645,644"
"New York-Newark-Jersey City, NY-NJ-PA Metro Area","2 - May 7-12, 2020",3172103,603693,34.6,5.7,9173473,"13,311,398"
